n;Lince;Edad_Suelta;suelta;Sexo;Nucleo original;Nucleo reprod;Tras;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
223;Sacarina;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;4;5
232;Secuoya;NA;1;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;1;2;4;4
230;Sabana;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;4;4
231;Sargenta;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;4;4
222;Saba;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;1;2;3;5
224;Sardana;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;3;5
209;Sephora;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;1;2;3;5
225;Sensata;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;1;2;3;4
228;Sonaja;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;1;2;3;4
229;Suria;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;3;4
310;Seiva;1;2;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;2;10;12
311;Serp;1;2;H;Sotillo;Sotillo;0;0;0;0;0;0;0;0;0;2;10;12
312;Selva;1;2;H;Ortiga;Córdoba;1;0;0;0;0;0;0;0;0;2;9;12
314;Sicilia;1;2;H;Sotillo;Sotillo;0;0;0;0;0;0;0;0;0;2;4;4
316;Silene;1;2;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;2;3;5
256;Timina;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;12;12
257;Tormenta;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;12;12
266;Taiga;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;12
277;Tataki;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;12
278;Teide;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;12
308;Torrija;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;12
298;Toscana;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;12
267;Tailandia;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
274;Tarawa;NA;1;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;1;2;10
275;Tártara;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;1;2;10
292;Tirolesa;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
281;Tereza;NA;1;H;Matachel Sur;Ortiga;0;0;0;0;0;0;0;0;0;1;2;6
273;Tarántula;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;1;2;4
269;Talega;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
276;Tasca;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
279;Temperatura;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;1;2;3
282;Terra;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
284;Tesalia;NA;1;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;1;2;3
285;Testuda;NA;1;H;Matachel Norte;Ortiga;0;0;0;0;0;0;0;0;0;1;2;6
291;Tintilla;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
299;Totovía;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
303;Traza;NA;1;H;Matachel Sur;Ortiga;0;0;0;0;0;0;0;0;0;1;2;6
306;Túnica;NA;1;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;1;2;3
307;Tuya;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
417;Tigrilla;1;2;H;Sotillo;Sotillo;0;0;0;0;0;0;0;0;0;0;2;12
420;Teia;1;2;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;2;10
421;Teja;1;2;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;2;10
419;Tapia;1;2;H;Ibores;Ibores;0;0;0;0;0;0;0;0;0;0;2;3
423;Tesis;1;2;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;2;3
327;U1 Pita;NA;1;H;Ibores;Ibores;0;0;0;0;0;0;0;0;0;0;1;12
336;U1 Rhipsalis;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;12
341;U1 Secuoya;NA;1;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;1;12
342;U2 Mene;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;12
354;U2 Quietamente;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;12
384;U3 Sicilia;NA;1;H;Sotillo;Sotillo;0;0;0;0;0;0;0;0;0;0;1;12
330;Unesco;NA;1;H;Matachel Centro;Matachel Centro;0;0;0;0;0;0;0;0;0;0;1;12
323;Usura;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;12
334;U1 Radiante;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;11
332;U1 Quomoquerais;NA;1;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;1;10
379;U3 Sabana;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;10
346;Ubre;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
391;Uda;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;1;2
392;Udaberri;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
393;Udaya;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;1;2
394;Ugari;NA;1;H;Sotillo;Sotillo;0;0;0;0;0;0;0;0;0;0;1;2
319;Ukumari;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
340;Ullucu;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
388;Ultramore;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
331;Umita;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
343;Ummanz;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
369;Unciana;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;1;2
337;Unit;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
325;Urava;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
381;Uraza;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;0;1;2
366;Urmi;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
