n;Lince;Edad_Suelta;suelta;Sexo;Nucleo original;Nucleo reprod;Tras;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
418;Tanque;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;2;3
422;Templario;1;2;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;2;3
415;Torrão;1;2;M;Sotillo;Sotillo;0;0;0;0;0;0;0;0;0;0;2;3
416;Trovão;1;2;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;2;3
345;U2 Nube;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;10
350;U2 Pita;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;10
359;Ujung;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;10
401;Uro;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;10
403;Urru;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;10
329;U1 Quebracina;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;9
411;U4 Secuoya;NA;1;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;1;9
357;U2 Quomoquerais;NA;1;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;0;1;8
358;U2 Radiante;NA;1;M;Cornalvo;Cornalvo;0;0;0;0;0;0;0;0;0;0;1;8
361;U2 Rhipsalis;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;8
376;U3 Radiante;NA;1;M;Cornalvo;Cornalvo;0;0;0;0;0;0;0;0;0;0;1;8
410;U4 Radiante;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;8
395;Uholde;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;8
397;Unay;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;8
349;Upo;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;0;1;8
404;Ursel;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;8
373;U3 Pita;NA;1;M;Ibores;Ibores;0;0;0;0;0;0;0;0;0;0;1;2
372;Ubel;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
353;Udeo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
339;Ugrachandi;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;0;1;2
